decision_id,evaluated_at,candidate_experiment_id,research_family,evidence_sha256,spec_sha256,experiment_ledger_sha256,trial_count,valid_trial_sharpes,report_path,report_sha256,admitted,failed_gates
29e9906aff70,2026-07-16T08:13:03.237263+00:00,9972e570ae21,stage1-gp-preflight-v1,e17dc5b9325634e5aed7ac51a3f9374989f7cbd036bc9b866198916180c81c59,fa64219653418a4c58ed485a9d0162af1a754df2d506f5dc8c05fa3b5128b99c,e80d7d3df3a16db088e71eb5d1d1279e861241be50332f4e08deedd5a243cd12,82,2,logs/g1/9972e570ae21-e17dc5b93256-fa6421965341-e80d7d3df3a1.json,0a79e93ef274c74cde40ab2724b3bf5a5a29ef6418e75d1727338fdf7cb6f061,false,economic_rationale|rolling_window_sign|rank_ic_retention|incremental_net_icir|incremental_net_excess|deflated_sharpe|hac_t
1abc29f93abf,2026-07-16T08:13:03.251312+00:00,7da47d7b3fac,stage1-gp-preflight-v1,197fdebed328c38e38283b712f34340ef39907d1b74c4c603a0b6c4ee9d21234,fa64219653418a4c58ed485a9d0162af1a754df2d506f5dc8c05fa3b5128b99c,e80d7d3df3a16db088e71eb5d1d1279e861241be50332f4e08deedd5a243cd12,82,2,logs/g1/7da47d7b3fac-197fdebed328-fa6421965341-e80d7d3df3a1.json,8cfa2081d3a5af87717f25dea0328a5c4352856a0226008aa47e6e80b7ad7ae2,false,economic_rationale|rolling_window_sign|rank_ic_retention|incremental_net_icir|incremental_net_excess|deflated_sharpe|hac_t
5eb7947a9ecd,2026-07-16T08:35:13.924927+00:00,508fb7131868,stage1-gp-preflight-v1,b8f53d2b0fee22716cf68740ab5c667dae2d467eeee746d64352584b4220005b,fa64219653418a4c58ed485a9d0162af1a754df2d506f5dc8c05fa3b5128b99c,a962137f141aba269024f64beb5ff08dc3f7f1158f567ef9f3457943dc2d3871,124,4,logs/g1/508fb7131868-b8f53d2b0fee-fa6421965341-a962137f141a.json,fe4c4d1c8919424a5a205e82a5c20c298efd893c17ea77c5cecfe5834ee16b85,false,economic_rationale|rolling_window_sign|rank_ic_retention|incremental_net_icir|incremental_net_excess|deflated_sharpe|hac_t
c8ea9596280e,2026-07-16T08:35:13.937473+00:00,591c7294789c,stage1-gp-preflight-v1,8c518354c9fffc508f2cb1925c3f16f020253a66043fd9fb0a8375fbf9a4a7f2,fa64219653418a4c58ed485a9d0162af1a754df2d506f5dc8c05fa3b5128b99c,a962137f141aba269024f64beb5ff08dc3f7f1158f567ef9f3457943dc2d3871,124,4,logs/g1/591c7294789c-8c518354c9ff-fa6421965341-a962137f141a.json,c845ac236b8e60c2750a395dce0e7eb332a5a6e917f13b7add9ec2aa4e9a8d9d,false,economic_rationale|rolling_window_sign|rank_ic_retention|incremental_net_icir|incremental_net_excess|deflated_sharpe|hac_t
549a4f57234b,2026-07-16T08:54:32.673727+00:00,a4bdd797c134,stage1-gp-preflight-v1,fcd72e2cf09beaab589108fb0cec49b91133a71ee34657cd310d8d0a15755fb1,fa64219653418a4c58ed485a9d0162af1a754df2d506f5dc8c05fa3b5128b99c,68e9820b8b74fa89a65420b55891ce6c5bbf35cfd5a09c8da674eafe90dc545b,166,6,logs/g1/a4bdd797c134-fcd72e2cf09b-fa6421965341-68e9820b8b74.json,42c9dd90b5dfd6a9a7cbd8d186a6d95e3bbdb97162695268fe426a1b0ff3a400,false,economic_rationale|rolling_window_sign|rank_ic_retention|incremental_net_icir|incremental_net_excess|deflated_sharpe|hac_t
669c50f2b7f4,2026-07-16T08:54:32.687470+00:00,b3a54f79cf6f,stage1-gp-preflight-v1,1afd82d8d61d0b0881cfebb79157782c323b7ad900db659b74a138ea3613bdfb,fa64219653418a4c58ed485a9d0162af1a754df2d506f5dc8c05fa3b5128b99c,68e9820b8b74fa89a65420b55891ce6c5bbf35cfd5a09c8da674eafe90dc545b,166,6,logs/g1/b3a54f79cf6f-1afd82d8d61d-fa6421965341-68e9820b8b74.json,9d65c3ae826e2766dd17e42ce73afde761e44058302fa4e935f5ed55ef9e6f8a,false,economic_rationale|rolling_window_sign|rank_ic_retention|incremental_net_icir|incremental_net_excess|deflated_sharpe|hac_t
67418039e56d,2026-07-24T04:09:44.892669+00:00,386edd16e6c5,p1-moneyflow-v1,6c20ab9ced79ff71ec2814a6feaad25a17a7940f9d87e3cb8accc2da5c934ca5,fa64219653418a4c58ed485a9d0162af1a754df2d506f5dc8c05fa3b5128b99c,e2d7cc9df2ace875ef0bb02e0adadbd97f2685b64697bcdfef89763a2bf9d3c3,6,6,data/research/moneyflow/experiments/p1-moneyflow-v1/g1_decisions/386edd16e6c5-6c20ab9ced79-fa6421965341-e2d7cc9df2ac.json,fcaa8b54ee15a909f44607befc8fbc673a33b6a0ad01581671d3c233b27199b9,false,rank_ic_retention|incremental_net_icir|incremental_net_excess|deflated_sharpe|hac_t
6ad18313407c,2026-07-24T04:09:44.903117+00:00,c1484e369234,p1-moneyflow-v1,bbbe1f6be47a2f8faf9924b47d37d96b9338ba5983aa11596a3938335d06a2f3,fa64219653418a4c58ed485a9d0162af1a754df2d506f5dc8c05fa3b5128b99c,e2d7cc9df2ace875ef0bb02e0adadbd97f2685b64697bcdfef89763a2bf9d3c3,6,6,data/research/moneyflow/experiments/p1-moneyflow-v1/g1_decisions/c1484e369234-bbbe1f6be47a-fa6421965341-e2d7cc9df2ac.json,9d61beea8934ba3221b4f774cebd67038b1479cb5aefe9270004ca3949cc3eda,false,rank_ic_retention|incremental_net_icir|incremental_net_excess|deflated_sharpe|hac_t
0de2d8b408cb,2026-07-24T04:09:44.913847+00:00,5b08f942f905,p1-moneyflow-v1,df054281c878268f49b86df3229783abbaf924fec65b6d9c57f9363976e17c86,fa64219653418a4c58ed485a9d0162af1a754df2d506f5dc8c05fa3b5128b99c,e2d7cc9df2ace875ef0bb02e0adadbd97f2685b64697bcdfef89763a2bf9d3c3,6,6,data/research/moneyflow/experiments/p1-moneyflow-v1/g1_decisions/5b08f942f905-df054281c878-fa6421965341-e2d7cc9df2ac.json,7eee4f230dffe2ca20a7f2f981601529aa9c94bffbc29f8dccee9062733ede0a,false,rank_ic_retention|incremental_net_icir|incremental_net_excess|deflated_sharpe|hac_t
c16105b2a3e5,2026-07-24T04:09:44.924400+00:00,25a43f7363ed,p1-moneyflow-v1,d2b0b811abd1741750ee8588985bf8e4f1e8e8daeee6927ceb7b578ba27fa02a,fa64219653418a4c58ed485a9d0162af1a754df2d506f5dc8c05fa3b5128b99c,e2d7cc9df2ace875ef0bb02e0adadbd97f2685b64697bcdfef89763a2bf9d3c3,6,6,data/research/moneyflow/experiments/p1-moneyflow-v1/g1_decisions/25a43f7363ed-d2b0b811abd1-fa6421965341-e2d7cc9df2ac.json,520691c764ee93fc2cce5105056f51b98190fae7ba6f4b2975801fa049c05dff,false,rank_ic_retention|incremental_net_icir|incremental_net_excess|deflated_sharpe|hac_t
