event_id,run_id,recorded_at,account_id,effective_date,sequence,event_type,business_key,signal_sha256,ts_code,side,quantity,price,amount,fee,cash_after,position_after,payload_json,evidence_sha256,operator
9f8f84718f1e9dc74383,97c4572ab074ad0129ef,2026-07-22T12:54:00.399175+00:00,model_baseline,20260717,1,CORPORATE_ACTION,b78cd0185c0c0be6b3ea,a7af3881ad1369731543414f6c2876a3d2544d859d65eb620bff67a40eac28b2,600460.SH,,400,,0.00,,180525.98,400,"{""action_id"":""b78cd0185c0c0be6b3ea"",""amount"":""0.00"",""cash_after"":""180525.98"",""event"":""ENTITLEMENT"",""position_after"":400,""quantity"":400,""ts_code"":""600460.SH""}",0756f6697ad027787239ec9e8f1a1bec7d018d1086c80fc6122e6c8f9a0b9dd8,docker-scheduler
d8f51ef02991b81b7afd,97c4572ab074ad0129ef,2026-07-22T12:54:00.399175+00:00,model_baseline,20260717,2,ORDER,e099654d5ca3c82a9a60,a7af3881ad1369731543414f6c2876a3d2544d859d65eb620bff67a40eac28b2,688008.SH,BUY,0,,,,,,"{""desired_quantity"":0,""filled_quantity"":0,""order_id"":""e099654d5ca3c82a9a60"",""reject_reason"":""BELOW_MIN_LOT"",""requested_quantity"":0,""side"":""BUY"",""status"":""REJECTED"",""target_weight"":""0.03333333333333333"",""ts_code"":""688008.SH""}",64b1642c4ea39c19f7ae709aa4ed5c81a7e187a7e5ad06ff25e034ce7e87cfbe,docker-scheduler
1092698d738ef6e4ffd8,97c4572ab074ad0129ef,2026-07-22T12:54:00.399175+00:00,model_baseline,20260717,3,ORDER,fd43cab4e65da9ae0f4d,a7af3881ad1369731543414f6c2876a3d2544d859d65eb620bff67a40eac28b2,300475.SZ,BUY,0,,,,,,"{""desired_quantity"":0,""filled_quantity"":0,""order_id"":""fd43cab4e65da9ae0f4d"",""reject_reason"":""BELOW_MIN_LOT"",""requested_quantity"":0,""side"":""BUY"",""status"":""REJECTED"",""target_weight"":""0.03333333333333333"",""ts_code"":""300475.SZ""}",f780ab09d0d33c9c979d4e14217c3b9cf763e554688baf8043d8aad30860eee3,docker-scheduler
78444ba83bf3dd29745a,97c4572ab074ad0129ef,2026-07-22T12:54:00.399175+00:00,model_baseline,20260717,4,ORDER,209f0af7f445bc8ba48a,a7af3881ad1369731543414f6c2876a3d2544d859d65eb620bff67a40eac28b2,603308.SH,BUY,300,,,,,,"{""desired_quantity"":300,""filled_quantity"":300,""order_id"":""209f0af7f445bc8ba48a"",""reject_reason"":"""",""requested_quantity"":300,""side"":""BUY"",""status"":""FILLED"",""target_weight"":""0.03333333333333333"",""ts_code"":""603308.SH""}",62e7a839cb330e6c3345234522e18160fd220c7f68d8471b70501127292114cf,docker-scheduler
4051e23f6f1f252f6ce4,97c4572ab074ad0129ef,2026-07-22T12:54:00.399175+00:00,model_baseline,20260717,5,FILL,dde5a4f54f7f4f0462b6,a7af3881ad1369731543414f6c2876a3d2544d859d65eb620bff67a40eac28b2,603308.SH,BUY,300,47.99,14397.00,5.14,485597.86,300,"{""cash_after"":""485597.86"",""commission"":""5.00"",""fill_id"":""dde5a4f54f7f4f0462b6"",""market_batch_id"":""58c827a59bfe"",""notional"":""14397.00"",""open_deviation"":0.010954286918053507,""order_id"":""209f0af7f445bc8ba48a"",""position_after"":300,""price"":""47.99"",""quantity"":300,""side"":""BUY"",""stamp_tax"":""0.00"",""total_fee"":""5.14"",""transfer_fee"":""0.14"",""ts_code"":""603308.SH""}",05791dcf5d70683ae2e5d275242b38787c142b031c4d446b1151053d1c799f13,docker-scheduler
c7dfa2d92f097b9faefb,97c4572ab074ad0129ef,2026-07-22T12:54:00.399175+00:00,model_baseline,20260717,6,ORDER,c93951b2f1585a89077c,a7af3881ad1369731543414f6c2876a3d2544d859d65eb620bff67a40eac28b2,688396.SH,BUY,256,,,,,,"{""desired_quantity"":256,""filled_quantity"":256,""order_id"":""c93951b2f1585a89077c"",""reject_reason"":"""",""requested_quantity"":256,""side"":""BUY"",""status"":""FILLED"",""target_weight"":""0.03333333333333333"",""ts_code"":""688396.SH""}",dc5bde0be0346038b5c656e381a02b1f79bbd05d039fb9dcac7fc38990f6306e,docker-scheduler
b21560b149175913e9b1,97c4572ab074ad0129ef,2026-07-22T12:54:00.399175+00:00,model_baseline,20260717,7,FILL,34db7b33fed4a22e55f1,a7af3881ad1369731543414f6c2876a3d2544d859d65eb620bff67a40eac28b2,688396.SH,BUY,256,64.89,16611.84,5.17,468980.85,256,"{""cash_after"":""468980.85"",""commission"":""5.00"",""fill_id"":""34db7b33fed4a22e55f1"",""market_batch_id"":""58c827a59bfe"",""notional"":""16611.84"",""open_deviation"":-0.009312977099236642,""order_id"":""c93951b2f1585a89077c"",""position_after"":256,""price"":""64.89"",""quantity"":256,""side"":""BUY"",""stamp_tax"":""0.00"",""total_fee"":""5.17"",""transfer_fee"":""0.17"",""ts_code"":""688396.SH""}",6c55ef8b7543fad47c905008a8e1f06f1acef39114489b5d4a1acdf3c8eb567f,docker-scheduler
460112d1aeb95eae7062,97c4572ab074ad0129ef,2026-07-22T12:54:00.399175+00:00,model_baseline,20260717,8,ORDER,492db4abdcf51d4fd2b9,a7af3881ad1369731543414f6c2876a3d2544d859d65eb620bff67a40eac28b2,688582.SH,BUY,380,,,,,,"{""desired_quantity"":380,""filled_quantity"":380,""order_id"":""492db4abdcf51d4fd2b9"",""reject_reason"":"""",""requested_quantity"":380,""side"":""BUY"",""status"":""FILLED"",""target_weight"":""0.03333333333333333"",""ts_code"":""688582.SH""}",75e2cc862e36b747febfe4aa987883147d165ca1deb7b27482199e3993ed2cd0,docker-scheduler
2bca3d535632154e40eb,97c4572ab074ad0129ef,2026-07-22T12:54:00.399175+00:00,model_baseline,20260717,9,FILL,0461e3fb42bbcf754460,a7af3881ad1369731543414f6c2876a3d2544d859d65eb620bff67a40eac28b2,688582.SH,BUY,380,43.8,16644.00,5.17,452331.68,380,"{""cash_after"":""452331.68"",""commission"":""5.00"",""fill_id"":""0461e3fb42bbcf754460"",""market_batch_id"":""58c827a59bfe"",""notional"":""16644.00"",""open_deviation"":0.005509641873278237,""order_id"":""492db4abdcf51d4fd2b9"",""position_after"":380,""price"":""43.8"",""quantity"":380,""side"":""BUY"",""stamp_tax"":""0.00"",""total_fee"":""5.17"",""transfer_fee"":""0.17"",""ts_code"":""688582.SH""}",6c62c5b8b3d397961cbf3c174a7357b43bec717572e992b87ad0f9310d2c7192,docker-scheduler
7b6835466766a7b42649,97c4572ab074ad0129ef,2026-07-22T12:54:00.399175+00:00,model_baseline,20260717,10,ORDER,55610b5ccbdbd66470b3,a7af3881ad1369731543414f6c2876a3d2544d859d65eb620bff67a40eac28b2,600460.SH,BUY,400,,,,,,"{""desired_quantity"":400,""filled_quantity"":400,""order_id"":""55610b5ccbdbd66470b3"",""reject_reason"":"""",""requested_quantity"":400,""side"":""BUY"",""status"":""FILLED"",""target_weight"":""0.03333333333333333"",""ts_code"":""600460.SH""}",795a0374af55bd08ce96d9a489587e03476cc85000e99c600a8771ae6927382c,docker-scheduler
